Panamax Bulk Spot Fixtures,,,,,,,,,,,,,,,,
Fixtures are provided as reported and are not comprehensive.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Created 17 July 2014 13:56,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Date,Name,Built,Dwt,Quantity,Type,Charterer,Delivery,Load,Discharge,Redel,Laycan From,Laycan To,Rate,Unit,Ballast Bonus,Owner
09/12/2011,Nord Aquarius,2011,81838,0,TCT,CNR,FLUSHING,BALTIC,UKC,UKC,12/12/2011,17/12/2011,17000,$/Day,,Norden D/S A/S
09/12/2011,Betis,2004,76801,0,TCT,SW SHIPPING,SUAL,INDONESIA,MALAYSIA,MALAYSIA,14/12/2011,19/12/2011,12000,$/Day,,Rewood Ocean Shpg.
09/12/2011,Sanko Odyssey,2010,75603,0,TCT,OLDENDORFF,PORI,BALTIC,UKC,UKC,10/12/2011,15/12/2011,20000,$/Day,,Sanko S.S.
09/12/2011,Golden Suek,2011,74500,0,TCT,KLAVENESS,SINGAPORE,ADELAIDE,CHINA,CHINA,10/12/2011,15/12/2011,12250,$/Day,,Golden Ocean
09/12/2011,Clipper Emperor,2000,74381,0,TCT,SWISS MARINE,GHENT,BALTIC,Skaw-Gibraltar,Skaw-Gibraltar,14/12/2011,19/12/2011,15500,$/Day,,Clipper Group
09/12/2011,Einakos,1997,75751,0,TCT,MARUBENI,NOPAC,NOPAC,SINGAPORE-JAPAN,SINGAPORE-JAPAN,18/12/2011,20/12/2011,14000,$/Day,500000,
09/12/2011,Grand Rodosi,1990,68788,0,TCT,BEIBU GULF,SURABAYA,SURABAYA,CHINA,CHINA,20/12/2011,25/12/2011,12000,$/Day,,NewLead Holdings
09/12/2011,Lambay,2011,75200,0,TCT,CARGILL,KARAIKAL,ECSA,SINGAPORE-JAPAN,SINGAPORE-JAPAN,09/12/2011,14/12/2011,12350,$/Day,,Laskaridis Shpg
08/12/2011,Medi Salerno,2008,81702,0,TCT,NORDEN,boryeong,NOPAC,SINGAPORE-JAPAN,SINGAPORE-JAPAN,06/12/2011,06/12/2011,10250,$/Day,,Clio Marine Inc.
08/12/2011,Dora Schulte,2010,79607,0,TCT,GLENCORE,Caofeidian,AUSTRALIA,INDIA,INDIA,06/12/2011,07/12/2011,10500,$/Day,,Thomas Schulte
